date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2015-09-24,0.78806,0.88163695,0.79701,0.89365324,0.709,0.7971254,0.721,0.80585491,31591.16084901,25457.89209383
2015-09-25,0.721,0.80585491,0.76896,0.85966689,0.6,0.67013199,0.61099,0.68406757,56069.28121464,38355.17697524
2015-09-26,0.61099,0.68406757,0.69999,0.783737,0.61099,0.68406757,0.68601,0.76806035,3010.76442733,2312.44878343
2015-09-27,0.68601,0.76806035,0.69999,0.783737,0.61002,0.68278127,0.64119,0.71760086,11313.05007242,8118.25442541
2015-09-28,0.64119,0.71760086,0.64119,0.7183083,0.5,0.56218939,0.52993,0.59543098,27690.4781365,16487.76854549
2015-09-29,0.52993,0.59543098,0.61999,0.69736601,0.5,0.56161463,0.59059,0.66478013,12693.58408293,8438.44243807
2015-09-30,0.59059,0.66478013,0.67,0.74885771,0.55001,0.61748714,0.66,0.73732389,11342.03201231,8362.7512103
2015-10-01,0.66,0.73732389,0.66,0.73741946,0.571,0.6364372,0.60706,0.67939901,7768.4362817,5277.86791547
2015-10-02,0.60706,0.67939901,0.61677,0.68878295,0.56701,0.63321306,0.60973,0.68358063,3085.8666672,2109.43869209
2015-10-03,0.60973,0.68358063,0.64999,0.72877004,0.60973,0.68358063,0.61716,0.69191056,985.37715263,681.79285456
2015-10-04,0.61716,0.69191056,0.61716,0.69196098,0.58274,0.6534161,0.602,0.67499913,698.9286772,471.77624976
2015-10-05,0.602,0.67499913,0.602,0.67667745,0.555,0.62103947,0.55554,0.62164373,7045.96113204,4380.07755417
2015-10-06,0.55554,0.62164373,0.57054,0.64318012,0.54,0.60522782,0.57,0.64226582,10604.33793919,6810.80384113
2015-10-07,0.57,0.64226582,0.57,0.64293086,0.52701,0.5922998,0.54661,0.61438047,4383.68470958,2693.25025498
2015-10-08,0.54661,0.61438047,0.559,0.63042885,0.52701,0.59300826,0.54504,0.61524013,4521.29323486,2781.68103408
2015-10-09,0.57,0.64341493,0.61388,0.69802003,0.56201,0.63466664,0.58,0.65881989,7837.66547961,5163.60994474
2015-10-10,0.58,0.65881989,0.58,0.65881989,0.55201,0.62702402,0.55805,0.63388697,868.9666791,550.82665457
2015-10-11,0.55805,0.63388697,0.56166,0.63798538,0.54,0.61338195,0.55,0.6250071,3595.24882426,2247.05604989
2015-10-12,0.55,0.6250071,0.57214,0.65078177,0.5412,0.61560721,0.555,0.6302292,935.46250525,589.55578541
2015-10-13,0.555,0.6302292,0.55582,0.63096331,0.53,0.60195397,0.53,0.6033313,11869.56097424,7161.27764663
2015-10-14,0.53,0.6033313,0.53,0.60383377,0.42,0.48220935,0.46,0.52780681,84053.82756734,44364.18289307
2015-10-15,0.46,0.52780681,0.50735,0.57784409,0.45088,0.51608532,0.489,0.5563507,5031.68309731,2799.38043077
2015-10-16,0.489,0.5563507,0.50919,0.57828883,0.45811,0.51997153,0.467,0.52999884,21628.48676186,11463.07294667
2015-10-17,0.467,0.52999884,0.491,0.55723204,0.46,0.52205039,0.48,0.54475256,32842.23153764,17890.88962413
2015-10-18,0.48,0.54475256,0.48,0.54475256,0.45,0.51070147,0.45776,0.51980496,1895.11977748,985.09265934
2015-10-19,0.45776,0.51980496,0.46087201,0.52416373,0.43090255,0.48762726,0.44534418,0.50454267,7997.86657668,4035.26498174
2015-10-20,0.44534418,0.50454267,0.44612895,0.5076483,0.39015846,0.44285713,0.39015846,0.44285713,31871.95770154,14114.723727
2015-10-21,0.3831217,0.43486992,0.41521478,0.47181031,0.36401212,0.41278584,0.38496426,0.43656294,83929.52545028,36640.52031608
2015-10-22,0.39117922,0.44361092,0.55485671,0.61660337,0.366,0.41504316,0.5052754,0.56116084,55495.09009152,31141.67163835
2015-10-23,0.50526837,0.56115304,0.56963609,0.62698724,0.4503235,0.49994505,0.48182938,0.53087477,18483.31861538,9812.32760818
2015-10-24,0.48182938,0.53087477,0.51399375,0.56631316,0.46042474,0.50729136,0.51365473,0.56593963,6654.25039772,3765.90401341
2015-10-25,0.51000615,0.56191966,0.62,0.68292167,0.51000604,0.56191953,0.55,0.60588568,35621.90664009,21582.80325906
2015-10-26,0.55,0.60588568,0.67937056,0.75113306,0.51001,0.56287586,0.66939483,0.74010359,31372.9444242,23219.22883204
2015-10-27,0.66125054,0.731099,0.80039602,0.88439791,0.61079262,0.67565556,0.78507655,0.86694379,66963.14103616,58053.2792628
2015-10-28,0.78506208,0.86692781,0.95984722,1.04844159,0.73199887,0.80768903,0.86927425,0.94985107,71693.64867901,68098.28879713
2015-10-29,0.86927425,0.94985107,1.08753398,1.19235406,0.85999714,0.93959801,1.07990143,1.18663836,45652.92859266,54173.51651729
2015-10-30,1.08987056,1.19759284,1.21,1.32949501,0.88134097,0.97159645,0.94514635,1.04021354,81996.27032812,85293.63098286
2015-10-31,0.92454455,1.01753953,0.94514851,1.04036821,0.80069595,0.88127342,0.81951639,0.90198785,19277.54708033,17388.11323242
2015-11-01,0.81949141,0.90196035,0.9774,1.07658941,0.792,0.87170236,0.96999,1.06900675,25033.73105731,26761.22748398
2015-11-02,0.96999,1.06900675,0.99,1.09207036,0.86,0.9471011,0.86101,0.94821339,30409.69474503,28834.87983095
2015-11-03,0.86101,0.94821339,0.96867536,1.06175053,0.84,0.925157,0.90123306,0.98792333,42577.17434249,42062.9837306
2015-11-04,0.90294777,0.98980299,0.97315296,1.05701551,0.7053214,0.76970659,0.83822335,0.9109054,80362.48455546,73202.62103988
2015-11-05,0.83822083,0.91090266,0.89892342,0.9781755,0.80085679,0.87001895,0.83255395,0.90599972,16028.91837828,14522.19553302
2015-11-06,0.83309508,0.90658859,0.89996217,0.96660474,0.80137756,0.87116947,0.85868805,0.92226831,36430.49415019,33598.69010534
2015-11-07,0.86021874,0.92391233,0.88008713,0.94531784,0.8004642,0.85979338,0.84689,0.90966019,35872.04750446,32631.37361605
2015-11-08,0.84689,0.90966019,0.94985979,1.01962345,0.84689,0.90961329,0.94985979,1.01962345,28529.17833913,29089.01920521
2015-11-09,0.95009136,1.01987202,1.01835523,1.09651716,0.87932071,0.94703341,0.92823045,0.99808868,83133.68777395,82974.79234175
2015-11-10,0.92823429,0.9980928,0.99455065,1.06933111,0.86148367,0.92380544,0.87192043,0.93499722,56665.18156482,52981.78699162
2015-11-11,0.87192043,0.93499722,0.87757667,0.94184335,0.6830325,0.73312078,0.74879655,0.80497322,92319.71312684,74314.89668737
2015-11-12,0.74879655,0.80497322,0.84967511,0.91295505,0.72391334,0.77915393,0.8269237,0.89382082,26880.74748834,24026.57185639
2015-11-13,0.8269237,0.89382082,0.84835678,0.91553212,0.79784749,0.85731407,0.83977866,0.90457714,16935.7907273,15319.72919186
2015-11-14,0.83911694,0.90386436,0.84696788,0.91224543,0.81297603,0.8756762,0.82165791,0.88502766,28661.18125725,25365.93816386
2015-11-15,0.82165716,0.88502686,0.85590518,0.92116183,0.8188173,0.88196797,0.85590518,0.91990974,7554.68857709,6949.63161582
2015-11-16,0.85590518,0.91990974,0.87560564,0.93806206,0.83735299,0.89843102,0.86790377,0.92736254,20325.59205388,18849.19275211
2015-11-17,0.86751365,0.9269457,0.96635568,1.02859274,0.846354,0.90223097,0.92982653,0.98971097,62777.78822936,62131.86586095
