date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2014-05-16,328.90561611,451.01530342,348.76103158,478.33867307,319.52323067,438.39548036,326.84720196,447.59180532,2666.53799325,1193520.55435127
2014-05-17,326.89597732,447.65859938,341.62458714,467.82572164,325.83833551,446.20779706,336.96200998,461.44072007,2005.09649684,925233.17131349
2014-05-18,336.8621614,461.30398596,349.20333561,478.20417098,325.52108943,445.88631721,328.03996855,449.33658133,897.85979474,403441.25068341
2014-05-19,328.03918176,449.33550362,357.49757146,490.10471376,324.12492008,444.31654411,336.43400178,461.1900651,1314.4877325,606228.68292041
2014-05-20,333.83494205,457.62722507,362.93971161,497.22196032,326.46586955,447.62864951,358.12158137,490.62119418,6098.58479419,2992094.95453763
2014-05-21,358.10307379,490.59583907,477.59871673,654.09518197,353.9682533,484.43584806,361.32174034,494.52366857,2834.39511247,1401675.46919152
2014-05-22,361.32091864,494.52254394,387.78055866,529.55374688,356.67653493,487.67208414,387.78055866,529.55374688,4655.41991088,2465295.05708941
2014-05-23,387.69415336,529.43575166,402.67484284,548.85008633,381.18537789,520.31074867,385.29594683,525.18322562,4257.63281803,2236037.33688414
2014-05-24,385.22398513,525.08513719,392.23263676,534.63765265,377.40765993,514.43028061,386.97865623,527.47614808,1521.23837459,802416.95814305
2014-05-25,387.44696648,528.11448428,425.3798526,579.81938411,387.44696648,528.11448428,419.33013597,571.92638729,3540.01066551,2024625.51090143
2014-05-26,411.6636267,561.46999846,433.97005867,592.21855555,410.08134799,559.39584682,426.2879993,581.65742142,4136.03061106,2405752.90014369
2014-05-27,426.15983193,581.48254083,438.39590144,596.89635697,405.95346077,553.94782301,420.57836912,573.50057765,4436.35950218,2544254.73715633
2014-05-28,420.04145724,572.76844472,433.32540503,589.00382909,413.87135055,562.71589452,421.3461505,572.80494206,2289.30974529,1311327.93600777
2014-05-29,421.38026678,572.85132191,441.8090199,601.46649717,412.30685205,561.52705043,421.00367614,572.58300156,1437.16028993,822893.55252776
2014-05-30,420.98195257,572.55345658,455.22650802,620.63336912,417.47896588,567.95268393,452.36400819,616.72909641,3714.25862189,2290691.36369371
2014-05-31,452.50966146,616.92767235,462.3918964,630.39714954,447.1351736,609.59705628,457.3288442,623.49449033,1219.30344279,760228.97862076
2014-06-01,457.40901751,623.60379378,494.15559696,673.70185804,455.18505913,620.57178341,464.36791989,632.83489811,4025.25398147,2547321.19324124
2014-06-02,465.50991539,634.39119557,490.54931275,666.99749782,456.4526644,622.21173805,483.95658459,658.09871903,3499.77197318,2303195.45243963
2014-06-03,483.39771899,657.33875678,510.37606836,695.40724702,478.43854352,650.82876518,490.76347595,668.78182973,3177.34967664,2124953.73044849
2014-06-04,490.64801518,668.624487,492.31460645,669.55252486,464.58291184,632.55807649,474.25611647,644.96649273,2820.57949639,1819179.2652629
2014-06-05,472.74717153,642.91439706,500.10355428,680.88452314,472.74717153,642.91439706,485.04271439,662.62213289,2328.43721087,1542874.03096655
2014-06-06,485.06852804,662.6573972,513.12865847,699.28829275,478.40186761,652.66106725,485.41863918,662.24365535,1597.04685351,1057634.14603686
2014-06-07,485.22657656,661.98162946,492.1681282,671.45821492,471.9620251,643.89130608,480.88597906,656.06613386,1013.85367237,665155.05913568
2014-06-08,480.9669416,656.17658994,494.43177218,674.5464733,479.57181771,654.27324159,486.76357336,664.18271762,455.16219663,302310.86471414
2014-06-09,486.59389081,663.95118793,489.52251806,668.08856039,474.58914175,645.1088211,475.66954774,646.57741651,1322.53112952,855118.76098014
2014-06-10,475.6102982,646.49687865,484.59939301,658.79455537,473.82714923,643.80438223,476.48746766,645.43095693,2052.81970422,1324953.38609495
2014-06-11,477.4675328,646.75851415,480.29395491,649.854727,462.20701479,625.49159589,462.85937412,626.40154133,2224.92165852,1393694.35624499
2014-06-12,462.87348676,626.4206404,472.01252665,639.92414206,418.03516944,566.45867021,434.22499155,588.39669307,4611.98168937,2713674.77450458
2014-06-13,433.73807326,587.7368943,457.81074445,621.43274275,425.31290489,577.12003193,439.5308521,595.09853585,3943.79873912,2346948.85533843
2014-06-14,439.5337541,595.10246498,439.5337541,595.10246498,403.77557547,546.6998689,424.83869868,575.21869816,3347.24158069,1925395.94446007
2014-06-15,419.75208315,568.33157518,438.56361648,593.56875464,411.20060614,556.75313496,438.56361648,593.56875464,2057.80974385,1221451.56693507
2014-06-16,438.28531478,593.19209048,454.34798901,614.97021439,435.89297283,590.58295772,440.82571662,598.32689521,3143.39861236,1880779.93213509
2014-06-17,439.36140893,596.33940982,471.08420337,637.91835206,434.53564797,589.23203799,440.04635806,596.12903488,2602.56299652,1551463.36732889
2014-06-18,439.37749992,595.22293543,463.65562389,629.387946,439.37749992,595.22293543,451.36838557,613.04986584,1864.85988147,1143252.10013863
2014-06-19,451.34511327,613.01825733,464.96004898,632.68134202,440.6247799,599.4209912,462.00112508,628.66619006,1541.94178657,969366.66826415
2014-06-20,461.63106831,628.16263678,468.37344143,636.96112798,430.64628441,586.08235901,438.41294556,596.18737675,1554.28159285,926643.0655744
2014-06-21,437.63173837,595.12503161,450.01931733,611.98808351,429.67398652,584.32016009,434.08614289,590.32031834,995.57510748,587708.21438141
2014-06-22,434.22785963,590.51304109,447.41771621,608.45012676,434.22785963,590.51304109,441.94050819,600.80549796,1127.76021532,677564.53774719
2014-06-23,441.94936465,600.81753806,448.76560668,610.54468444,428.35112185,581.76982301,441.39497934,600.41485321,1388.66140407,833772.93308975
2014-06-24,441.40745995,600.43183017,460.02152851,626.47712786,424.16191561,577.06591768,428.89694271,583.50943867,1566.5528716,914098.3867556
2014-06-25,427.86547659,582.10614068,442.9919081,602.66334189,413.01568349,561.97426921,415.50627245,566.3471805,2477.33561885,1403032.04289914
2014-06-26,414.01843779,564.31921843,426.41347435,580.40076107,413.99824734,564.20402922,426.17662256,580.12733358,1595.62954081,925668.31088565
2014-06-27,426.12153696,580.05234904,436.56067979,595.55554921,424.95159003,578.71861137,434.39247713,592.8848183,2729.88745234,1618508.82616191
2014-06-28,434.47243558,592.99395037,442.99028208,604.62539302,433.24438756,591.32348653,435.12139019,593.88535641,1403.07072669,833263.15858428
2014-06-29,434.57254288,593.13624963,442.52588104,603.99154466,431.88183709,589.46538754,440.5674746,601.19548565,597.04796269,358942.53988703
2014-06-30,440.62594104,601.27526857,473.91974043,648.9846469,436.39955736,595.42428439,465.60352325,637.5475463,5294.54084485,3375521.5244037
2014-07-01,466.21769652,638.38852933,480.61532119,657.60874101,466.21769652,638.38852933,467.97208591,640.14566359,2892.27655076,1851478.29188364
2014-07-02,466.27115988,637.81894271,487.13014158,665.05827247,464.73597736,635.66329463,475.72870754,649.68426941,4133.17876632,2685261.2271393
2014-07-03,476.19338699,650.31886413,479.78767129,654.94700014,464.91426667,632.69911129,471.49210921,641.69190271,3608.7452081,2315702.57899841
2014-07-04,471.46114038,641.64975472,471.93553839,641.88830487,456.3920897,620.29516137,464.23904368,631.1171461,1662.45754487,1049205.46123413
2014-07-05,463.88560784,630.63666213,472.08002442,641.77930942,457.16635514,621.504602,472.08002442,641.77930942,547.39760037,351308.45394304
